iso,pressure,free_gb,swap_gb,compressed_gb
2026-09-19T21:46:49.633Z,1,21.2,9.1,5.0
2026-09-19T21:47:09.742Z,1,18.1,9.1,5.0
2026-09-19T21:47:29.832Z,1,8.2,9.1,11.0
2026-09-19T21:47:49.885Z,1,9.9,9.1,8.7
2026-09-19T21:48:09.943Z,1,8.3,9.1,12.0
2026-09-19T21:48:29.996Z,2,6.8,9.1,13.7
2026-09-19T21:48:50.082Z,2,6.4,9.1,14.7
2026-09-19T21:49:10.133Z,2,6.1,9.1,15.0
2026-09-19T21:49:30.170Z,2,5.5,9.1,16.2
2026-09-19T21:49:50.244Z,1,7.6,9.3,12.1
2026-09-19T21:50:10.365Z,2,8.0,9.3,11.4
2026-09-19T21:50:30.437Z,2,6.8,9.3,13.6
2026-09-19T21:50:50.550Z,2,6.3,9.3,14.7
2026-09-19T21:51:10.734Z,1,7.8,9.3,11.7
2026-09-19T21:51:30.762Z,1,18.3,4.6,4.0
2026-09-19T21:51:50.785Z,1,17.0,4.0,1.3
2026-09-19T21:52:10.799Z,1,16.0,4.0,1.2
2026-09-19T21:52:30.821Z,1,16.9,4.0,1.2
2026-09-19T21:52:50.834Z,1,16.7,4.0,1.2
2026-09-19T21:53:10.846Z,1,16.1,4.0,1.2
2026-09-19T21:53:30.866Z,1,17.0,4.0,1.2
2026-09-19T21:53:50.888Z,1,16.8,4.0,1.2
2026-09-19T21:54:10.903Z,1,15.7,4.0,1.2
2026-09-19T21:54:30.922Z,1,16.8,4.0,1.2
2026-09-19T21:54:50.935Z,1,16.1,4.0,1.1
2026-09-19T21:55:10.956Z,1,16.6,4.0,1.1
2026-09-19T21:55:30.975Z,1,16.5,4.0,1.1
2026-09-19T21:55:50.994Z,1,16.5,4.0,1.1
2026-09-19T21:56:11.015Z,1,16.4,4.0,1.1
2026-09-19T21:56:31.028Z,1,14.9,4.0,1.1
2026-09-19T21:56:51.050Z,1,16.4,4.0,1.1
2026-09-19T21:57:11.071Z,1,16.5,4.0,1.1
2026-09-19T21:57:31.092Z,1,16.5,4.0,1.1
2026-09-19T21:57:51.112Z,1,16.4,4.0,1.1
2026-09-19T21:58:11.130Z,1,16.6,4.0,1.1
2026-09-19T21:58:31.149Z,1,16.6,4.0,1.1
2026-09-19T21:58:51.162Z,1,16.3,4.0,1.1
2026-09-19T21:59:11.182Z,1,16.6,4.0,1.1
2026-09-19T21:59:31.204Z,1,16.6,4.0,1.0
2026-09-19T21:59:51.224Z,1,16.7,4.0,1.0
2026-09-19T22:00:11.244Z,1,16.6,3.9,1.1
2026-09-19T22:00:31.265Z,1,16.6,3.9,1.0
2026-09-19T22:00:51.286Z,1,16.5,3.9,1.0
2026-09-19T22:01:11.305Z,1,16.5,3.9,1.0
2026-09-19T22:01:31.319Z,1,15.4,3.9,1.0
2026-09-19T22:01:51.341Z,1,16.5,3.9,1.0
2026-09-19T22:02:11.360Z,1,16.5,3.9,1.0
2026-09-19T22:02:31.380Z,1,16.5,3.9,1.0
2026-09-19T22:02:51.393Z,1,15.8,3.9,1.0
2026-09-19T22:03:11.414Z,1,16.5,3.9,1.0
2026-09-19T22:03:31.430Z,1,19.7,3.9,1.0
2026-09-19T22:03:51.451Z,1,16.3,3.9,1.0
2026-09-19T22:04:11.471Z,1,16.3,3.9,1.0
2026-09-19T22:04:31.494Z,1,16.3,3.9,1.0
2026-09-19T22:04:51.506Z,1,15.6,3.9,1.0
2026-09-19T22:05:11.528Z,1,16.5,3.9,1.0
2026-09-19T22:05:31.549Z,1,16.5,3.9,1.0
2026-09-19T22:05:51.568Z,1,16.5,3.9,1.0
2026-09-19T22:06:11.582Z,1,16.6,3.9,1.0
2026-09-19T22:06:31.602Z,1,16.5,3.9,1.0
2026-09-19T22:06:51.620Z,1,16.1,3.9,1.0
2026-09-19T22:07:11.641Z,1,16.0,3.9,1.0
2026-09-19T22:07:31.663Z,1,16.0,3.9,1.0
2026-09-19T22:07:51.684Z,1,15.9,3.9,1.0
2026-09-19T22:08:11.705Z,1,16.4,3.9,1.0
2026-09-19T22:08:31.726Z,1,16.4,3.9,1.0
2026-09-19T22:08:51.747Z,1,16.3,3.9,1.0
2026-09-19T22:09:11.769Z,1,16.3,3.9,1.0
2026-09-19T22:09:31.787Z,1,15.9,3.9,1.0
2026-09-19T22:09:51.809Z,1,15.9,3.9,1.0
2026-09-19T22:10:11.831Z,1,15.8,3.9,1.0
2026-09-19T22:10:31.847Z,1,16.0,3.9,1.0
2026-09-19T22:10:51.867Z,1,16.0,3.9,1.0
2026-09-19T22:11:11.889Z,1,16.0,3.9,1.0
2026-09-19T22:11:31.911Z,1,15.9,3.9,0.9
2026-09-19T22:11:51.935Z,1,15.9,3.9,0.9
2026-09-19T22:12:11.948Z,1,15.1,3.9,0.9
2026-09-19T22:12:31.970Z,1,15.6,3.9,0.9
2026-09-19T22:12:51.991Z,1,15.6,3.9,0.9
2026-09-19T22:13:12.008Z,1,15.7,3.9,0.9
2026-09-19T22:13:32.021Z,1,14.9,3.9,0.9
2026-09-19T22:13:52.042Z,1,15.7,3.9,0.9
2026-09-19T22:14:12.056Z,1,14.6,3.9,0.9
