iso,pressure,free_gb,swap_gb,compressed_gb
2026-09-19T13:18:51.710Z,1,17.9,1.2,3.4
2026-09-19T13:19:11.722Z,1,17.9,1.2,3.4
2026-09-19T13:19:31.791Z,1,8.7,1.2,9.7
2026-09-19T13:19:51.809Z,2,5.5,1.8,15.8
2026-09-19T13:20:12.022Z,2,6.7,1.7,13.5
2026-09-19T13:20:32.097Z,2,5.7,1.7,15.5
2026-09-19T13:20:52.176Z,1,7.9,1.7,11.1
2026-09-19T13:21:12.219Z,2,7.7,1.7,11.6
2026-09-19T13:21:32.265Z,1,8.7,1.7,9.8
2026-09-19T13:21:52.303Z,1,7.7,1.7,11.6
2026-09-19T13:22:12.443Z,2,5.9,1.7,15.1
2026-09-19T13:22:32.549Z,2,6.8,1.7,13.5
2026-09-19T13:22:52.624Z,2,6.5,1.7,14.0
2026-09-19T13:23:12.915Z,2,5.7,1.7,15.4
2026-09-19T13:23:32.983Z,2,5.5,1.8,15.9
2026-09-19T13:23:53.058Z,2,6.2,1.7,14.7
2026-09-19T13:24:13.075Z,1,22.1,1.7,5.1
2026-09-19T13:24:33.177Z,1,9.4,1.7,4.7
2026-09-19T13:24:53.376Z,2,5.9,1.7,15.3
2026-09-19T13:25:13.475Z,1,7.9,1.7,11.3
2026-09-19T13:25:33.538Z,1,9.4,1.7,9.9
2026-09-19T13:25:53.649Z,2,6.9,1.7,13.3
2026-09-19T13:26:13.758Z,2,5.9,1.7,15.3
2026-09-19T13:26:33.857Z,1,7.8,1.7,11.4
2026-09-19T13:26:53.970Z,1,7.7,1.7,11.8
2026-09-19T13:27:14.033Z,2,6.1,1.7,14.9
2026-09-19T13:27:34.179Z,2,5.5,1.8,16.0
2026-09-19T13:27:54.247Z,2,5.9,2.2,15.4
2026-09-19T13:28:14.353Z,2,6.2,1.9,14.7
2026-09-19T13:28:34.742Z,2,7.5,1.9,12.2
2026-09-19T13:28:54.798Z,2,6.7,1.9,13.6
2026-09-19T13:29:14.871Z,1,20.5,1.9,4.5
2026-09-19T13:29:34.951Z,1,9.4,1.9,8.5
2026-09-19T13:29:55.045Z,1,9.1,1.9,10.5
2026-09-19T13:30:15.137Z,1,7.2,1.8,12.7
2026-09-19T13:30:35.233Z,1,8.1,1.8,10.9
2026-09-19T13:30:55.328Z,2,7.4,1.8,12.2
2026-09-19T13:31:15.450Z,1,10.1,1.8,7.0
2026-09-19T13:31:35.578Z,1,7.4,1.8,12.5
2026-09-19T13:31:55.772Z,2,6.9,1.8,13.7
2026-09-19T13:32:15.895Z,2,5.6,1.8,15.9
2026-09-19T13:32:36.140Z,2,5.6,2.2,16.0
2026-09-19T13:32:56.253Z,2,7.1,2.1,13.0
2026-09-19T13:33:16.550Z,2,5.4,2.2,16.2
2026-09-19T13:33:36.738Z,2,7.6,2.1,12.8
2026-09-19T13:33:56.757Z,1,22.3,2.0,4.8
2026-09-19T13:34:16.808Z,1,13.1,2.0,4.3
2026-09-19T13:34:36.916Z,1,7.9,2.0,11.4
2026-09-19T13:34:56.987Z,1,10.4,2.0,6.6
2026-09-19T13:35:17.035Z,1,8.8,2.0,10.4
2026-09-19T13:35:37.131Z,2,8.0,2.0,11.3
2026-09-19T13:35:57.206Z,2,7.6,2.0,11.8
2026-09-19T13:36:17.317Z,2,7.4,2.0,12.4
2026-09-19T13:36:37.420Z,2,5.9,2.0,15.3
2026-09-19T13:36:57.460Z,1,9.7,2.0,8.4
2026-09-19T13:37:17.564Z,2,6.6,2.0,13.9
2026-09-19T13:37:37.625Z,2,6.8,2.0,13.4
2026-09-19T13:37:57.709Z,2,6.1,2.0,15.1
2026-09-19T13:38:17.908Z,2,5.5,2.0,15.9
2026-09-19T13:38:38.123Z,2,5.8,2.4,15.6
2026-09-19T13:38:58.143Z,1,22.3,1.9,4.6
2026-09-19T13:39:18.242Z,1,11.0,1.9,5.4
2026-09-19T13:39:38.274Z,1,10.1,1.9,10.4
2026-09-19T13:39:58.310Z,1,8.1,1.9,11.1
2026-09-19T13:40:18.362Z,1,8.6,1.9,10.1
2026-09-19T13:40:38.462Z,1,8.0,1.8,11.2
2026-09-19T13:40:58.501Z,1,9.7,1.8,8.1
2026-09-19T13:41:18.552Z,1,7.2,1.8,12.8
2026-09-19T13:41:38.600Z,1,8.6,1.8,10.2
2026-09-19T13:41:58.700Z,1,7.5,1.8,12.2
2026-09-19T13:42:18.838Z,1,7.0,1.8,13.3
2026-09-19T13:42:38.880Z,2,6.9,1.8,13.4
2026-09-19T13:42:58.990Z,2,5.7,1.9,16.0
2026-09-19T13:43:19.009Z,1,22.3,1.8,4.3
2026-09-19T13:43:39.067Z,1,19.4,1.8,4.0
2026-09-19T13:43:59.195Z,1,8.9,1.8,9.3
2026-09-19T13:44:19.297Z,1,9.6,1.8,8.1
2026-09-19T13:44:39.349Z,1,9.0,1.8,9.4
2026-09-19T13:44:59.425Z,1,7.5,1.8,12.2
2026-09-19T13:45:19.486Z,1,9.0,1.8,9.4
2026-09-19T13:45:39.635Z,1,9.2,1.8,9.0
2026-09-19T13:45:59.696Z,1,7.5,1.8,12.2
2026-09-19T13:46:19.823Z,1,9.1,1.8,9.2
2026-09-19T13:46:39.916Z,1,7.4,1.8,12.4
2026-09-19T13:47:00.013Z,2,7.0,1.8,13.3
2026-09-19T13:47:20.165Z,1,7.3,1.8,12.7
2026-09-19T13:47:40.334Z,2,5.9,1.8,15.4
2026-09-19T13:48:00.355Z,1,20.5,1.8,4.5
2026-09-19T13:48:20.435Z,1,10.1,1.8,4.2
2026-09-19T13:48:40.538Z,1,7.1,1.8,13.1
2026-09-19T13:49:00.593Z,1,8.3,1.8,10.7
2026-09-19T13:49:20.644Z,1,8.8,1.8,9.9
2026-09-19T13:49:40.752Z,1,7.0,1.7,13.0
2026-09-19T13:50:00.789Z,2,7.8,1.7,11.6
2026-09-19T13:50:20.875Z,1,8.6,1.7,10.1
2026-09-19T13:50:40.960Z,1,7.2,1.7,12.8
2026-09-19T13:51:01.080Z,1,7.7,1.7,11.7
2026-09-19T13:51:21.119Z,1,7.6,1.7,12.0
2026-09-19T13:51:41.168Z,1,8.0,1.7,11.3
2026-09-19T13:52:01.257Z,2,6.5,1.7,13.9
2026-09-19T13:52:21.391Z,2,6.0,1.7,15.1
2026-09-19T13:52:41.409Z,1,21.7,1.9,4.5
2026-09-19T13:53:01.472Z,1,18.0,1.9,4.2
2026-09-19T13:53:21.579Z,1,8.4,1.9,10.3
2026-09-19T13:53:41.674Z,1,10.7,1.9,8.2
2026-09-19T13:54:01.743Z,1,7.4,1.9,12.3
2026-09-19T13:54:21.803Z,1,8.3,1.9,10.7
2026-09-19T13:54:41.856Z,1,7.9,1.9,11.4
2026-09-19T13:55:01.907Z,2,6.9,1.9,13.4
2026-09-19T13:55:21.980Z,1,7.0,1.9,13.3
2026-09-19T13:55:42.034Z,1,9.0,1.9,9.4
2026-09-19T13:56:02.150Z,1,7.5,1.9,12.1
2026-09-19T13:56:22.257Z,1,8.7,1.9,9.7
2026-09-19T13:56:42.365Z,1,7.3,1.9,12.7
2026-09-19T13:57:02.458Z,2,6.5,1.9,14.0
2026-09-19T13:57:22.506Z,1,20.5,1.8,4.3
2026-09-19T13:57:42.593Z,1,9.8,1.8,4.1
2026-09-19T13:58:02.681Z,1,7.0,1.8,13.0
2026-09-19T13:58:22.751Z,1,8.1,1.8,11.0
2026-09-19T13:58:42.829Z,2,8.1,1.8,12.0
2026-09-19T13:59:02.923Z,2,8.1,1.8,11.0
2026-09-19T13:59:22.987Z,1,8.7,1.8,9.9
2026-09-19T13:59:43.029Z,1,8.2,1.8,10.8
2026-09-19T14:00:03.081Z,1,7.0,1.8,13.2
2026-09-19T14:00:23.134Z,2,6.6,1.8,13.9
2026-09-19T14:00:43.182Z,1,8.6,1.8,10.1
2026-09-19T14:01:03.324Z,1,6.9,1.8,13.2
