iso,pressure,free_gb,swap_gb,compressed_gb
2026-09-18T12:09:19Z,1,18.8,2.5,4.9
2026-09-18T12:09:39Z,1,18.7,2.5,4.9
2026-09-18T12:09:59Z,1,9.4,2.5,8.7
2026-09-18T12:10:19Z,1,7.1,2.5,12.9
2026-09-18T12:10:39Z,2,7.4,2.5,14.2
2026-09-18T12:10:59Z,2,6.1,2.5,14.9
2026-09-18T12:11:19Z,2,5.9,2.7,15.1
2026-09-18T12:11:39Z,1,7.0,2.7,13.3
2026-09-18T12:12:00Z,2,6.5,2.7,14.2
2026-09-18T12:12:20Z,2,5.6,2.8,16.0
2026-09-18T12:12:41Z,1,7.2,2.8,13.0
2026-09-18T12:13:01Z,2,7.0,2.8,13.4
2026-09-18T12:13:21Z,1,7.2,2.8,13.0
2026-09-18T12:13:41Z,2,6.4,2.8,14.6
2026-09-18T12:14:02Z,2,5.5,2.8,16.2
2026-09-18T12:14:22Z,1,21.3,3.0,5.5
2026-09-18T12:14:42Z,1,21.0,2.9,1.1
2026-09-18T12:15:02Z,1,12.6,2.8,0.8
2026-09-18T12:15:22Z,2,6.7,2.8,14.1
2026-09-18T12:15:42Z,1,8.5,2.8,10.4
2026-09-18T12:16:02Z,1,7.2,2.8,12.9
2026-09-18T12:16:22Z,1,7.6,2.8,12.3
2026-09-18T12:16:42Z,2,6.6,2.8,14.2
2026-09-18T12:17:02Z,1,8.8,2.8,10.0
2026-09-18T12:17:22Z,1,7.2,2.8,13.2
2026-09-18T12:17:42Z,1,8.6,2.8,10.4
2026-09-18T12:18:03Z,1,7.9,2.8,11.7
2026-09-18T12:18:23Z,2,6.8,2.8,13.8
2026-09-18T12:18:43Z,2,6.8,2.8,13.8
2026-09-18T12:19:03Z,2,6.7,2.8,14.1
2026-09-18T12:19:24Z,1,20.7,2.8,1.0
2026-09-18T12:19:44Z,1,13.1,2.8,0.9
2026-09-18T12:20:04Z,2,6.7,2.8,14.0
2026-09-18T12:20:24Z,1,8.7,2.8,10.1
2026-09-18T12:20:44Z,1,8.1,2.8,11.3
