iso,pressure,free_gb,swap_gb,compressed_gb
2026-09-18T20:12:08Z,1,16.2,1.5,1.7
2026-09-18T20:12:28Z,1,13.7,1.5,1.7
2026-09-18T20:12:48Z,1,13.5,1.5,1.7
2026-09-18T20:13:08Z,1,13.5,1.5,1.7
2026-09-18T20:13:28Z,1,16.7,1.5,1.7
2026-09-18T20:13:48Z,1,13.7,1.5,1.7
2026-09-18T20:14:08Z,1,13.6,1.5,1.7
2026-09-18T20:14:28Z,1,13.9,1.5,1.7
2026-09-18T20:14:48Z,1,14.8,1.5,1.7
2026-09-18T20:15:08Z,1,14.4,1.5,1.7
2026-09-18T20:15:28Z,1,14.8,1.5,1.7
2026-09-18T20:15:48Z,1,14.8,1.5,1.7
2026-09-18T20:16:09Z,1,14.6,1.5,1.7
2026-09-18T20:16:29Z,1,15.5,1.5,1.7
2026-09-18T20:16:49Z,1,16.0,1.5,1.7
2026-09-18T20:17:09Z,1,14.6,1.5,1.7
2026-09-18T20:17:29Z,1,14.6,1.5,1.7
2026-09-18T20:17:49Z,1,14.0,1.5,1.7
2026-09-18T20:18:09Z,1,14.4,1.5,1.7
2026-09-18T20:18:29Z,1,14.2,1.5,1.7
2026-09-18T20:18:49Z,1,14.4,1.5,1.7
2026-09-18T20:19:09Z,1,15.0,1.5,1.7
2026-09-18T20:19:29Z,1,15.2,1.5,1.7
2026-09-18T20:19:49Z,1,14.5,1.5,1.7
2026-09-18T20:20:09Z,1,13.9,1.5,1.7
2026-09-18T20:20:29Z,1,14.7,1.5,1.7
2026-09-18T20:20:49Z,1,15.9,1.5,1.7
2026-09-18T20:21:09Z,1,13.3,1.5,1.7
2026-09-18T20:21:29Z,1,13.4,1.5,1.7
2026-09-18T20:21:49Z,1,15.6,1.5,1.7
2026-09-18T20:22:09Z,1,13.9,1.5,1.7
2026-09-18T20:22:29Z,1,14.0,1.5,1.7
2026-09-18T20:22:50Z,1,15.6,1.5,1.7
2026-09-18T20:23:10Z,1,15.1,1.5,1.7
2026-09-18T20:23:30Z,1,14.5,1.5,1.7
2026-09-18T20:23:50Z,1,13.9,1.5,1.6
2026-09-18T20:24:10Z,1,14.6,1.5,1.6
2026-09-18T20:24:30Z,1,14.8,1.5,1.6
2026-09-18T20:24:50Z,1,14.9,1.5,1.6
2026-09-18T20:25:10Z,1,15.5,1.5,1.6
2026-09-18T20:25:30Z,1,14.2,1.5,1.6
2026-09-18T20:25:50Z,1,15.5,1.5,1.6
2026-09-18T20:26:10Z,1,14.3,1.5,1.6
2026-09-18T20:26:30Z,1,14.6,1.5,1.6
2026-09-18T20:26:50Z,1,15.6,1.5,1.6
2026-09-18T20:27:10Z,1,14.3,1.5,1.6
2026-09-18T20:27:30Z,1,13.8,1.5,1.6
2026-09-18T20:27:50Z,1,14.8,1.5,1.6
2026-09-18T20:28:10Z,1,14.7,1.5,1.6
2026-09-18T20:28:31Z,1,14.9,1.5,1.6
2026-09-18T20:28:51Z,1,13.7,1.5,1.6
2026-09-18T20:29:11Z,1,14.8,1.5,1.6
2026-09-18T20:29:31Z,1,14.5,1.5,1.6
2026-09-18T20:29:51Z,1,14.4,1.5,1.6
2026-09-18T20:30:11Z,1,15.6,1.5,1.6
2026-09-18T20:30:31Z,1,15.5,1.5,1.6
2026-09-18T20:30:51Z,1,13.4,1.5,1.6
2026-09-18T20:31:11Z,1,14.5,1.5,1.6
2026-09-18T20:31:31Z,1,13.9,1.5,1.6
2026-09-18T20:31:51Z,1,14.1,1.5,1.6
2026-09-18T20:32:11Z,1,14.2,1.5,1.6
2026-09-18T20:32:31Z,1,14.0,1.5,1.6
2026-09-18T20:32:51Z,1,14.7,1.5,1.6
2026-09-18T20:33:11Z,1,15.4,1.5,1.6
2026-09-18T20:33:31Z,1,14.7,1.5,1.6
2026-09-18T20:33:51Z,1,15.4,1.5,1.6
2026-09-18T20:34:11Z,1,16.2,1.5,1.6
2026-09-18T20:34:31Z,1,14.7,1.5,1.6
2026-09-18T20:34:52Z,1,14.9,1.5,1.6
2026-09-18T20:35:12Z,1,14.5,1.5,1.6
2026-09-18T20:35:32Z,1,14.6,1.5,1.6
2026-09-18T20:35:52Z,1,15.2,1.5,1.6
2026-09-18T20:36:12Z,1,14.9,1.5,1.6
2026-09-18T20:36:32Z,1,14.7,1.5,1.6
2026-09-18T20:36:52Z,1,14.1,1.5,1.6
2026-09-18T20:37:12Z,1,14.9,1.5,1.6
2026-09-18T20:37:32Z,1,15.8,1.5,1.6
2026-09-18T20:37:52Z,1,13.4,1.5,1.6
2026-09-18T20:38:12Z,1,14.6,1.5,1.6
2026-09-18T20:38:32Z,1,15.2,1.5,1.6
2026-09-18T20:38:52Z,1,13.9,1.5,1.6
2026-09-18T20:39:12Z,1,15.0,1.5,1.6
2026-09-18T20:39:32Z,1,15.0,1.5,1.6
2026-09-18T20:39:52Z,1,14.4,1.5,1.6
2026-09-18T20:40:13Z,1,15.1,1.5,1.6
2026-09-18T20:40:33Z,1,15.3,1.5,1.6
2026-09-18T20:40:53Z,1,16.2,1.5,1.6
2026-09-18T20:41:13Z,1,15.6,1.5,1.6
2026-09-18T20:41:33Z,1,12.3,1.5,1.6
2026-09-18T20:41:53Z,1,15.3,1.5,1.6
2026-09-18T20:42:13Z,1,14.5,1.5,1.6
2026-09-18T20:42:33Z,1,14.9,1.5,1.6
2026-09-18T20:42:53Z,1,14.6,1.5,1.6
